交易
平仓时间 (UTC+8),交易品种,开仓方向,建仓价,平仓价格,平仓量,净盈利 HKD,余额 HKD
06 7 月 2026 11:25:13.678,HK50,买入,23436.3,23446.3,0.5 手,5.00,15 023.23
06 7 月 2026 11:25:13.617,HK50,买入,23436.3,23446.3,0.5 手,5.00,15 018.23
06 7 月 2026 09:56:35.136,HK50,买入,23409.1,23390.8,5 手,-91.50,15 013.23
06 7 月 2026 09:56:35.133,HK50,买入,23411.1,23390.8,5 手,-101.50,15 104.73
06 7 月 2026 09:56:35.111,HK50,买入,23384.3,23390.8,5 手,32.50,15 206.23
06 7 月 2026 09:56:35.099,HK50,买入,23309.8,23390.8,1 手,81.00,15 173.73
06 7 月 2026 09:56:35.091,HK50,买入,23324.3,23390.8,5 手,332.50,15 092.73
06 7 月 2026 09:56:35.090,HK50,买入,23340.6,23390.8,1 手,50.20,14 760.23
06 7 月 2026 09:56:35.081,HK50,买入,23313.1,23390.8,5 手,388.50,14 710.03
06 7 月 2026 09:56:35.078,HK50,买入,23311.3,23390.8,1 手,79.50,14 321.53
06 7 月 2026 09:56:35.068,HK50,买入,23382.3,23390.8,5 手,42.50,14 242.03
06 7 月 2026 09:56:35.061,HK50,买入,23410.1,23390.8,5 手,-96.50,14 218.83
06 7 月 2026 09:56:35.061,HK50,买入,23411.3,23390.8,5 手,-102.50,14 116.33
06 7 月 2026 09:56:35.061,HK50,买入,23307.6,23390.8,1 手,83.20,14 199.53
06 7 月 2026 09:56:35.058,HK50,买入,23312.3,23390.8,5 手,392.50,14 315.33
06 7 月 2026 08:50:08.536,JPN225,买入,69886.0,69909.0,0.1 手,11.16,13 922.83
06 7 月 2026 08:50:06.288,JPN225,买入,69756.0,69909.0,0.2 手,148.53,13 911.67
06 7 月 2026 08:50:04.954,JPN225,买入,69756.0,69911.5,0.2 手,150.96,13 763.14
06 7 月 2026 08:50:03.991,JPN225,买入,69756.0,69914.0,0.2 手,153.39,13 612.18
06 7 月 2026 08:47:59.980,JPN225,买入,69886.0,69926.5,0.1 手,19.66,13 458.79
03 7 月 2026 09:06:01.937,JPN225,买入,68167.7,68680.7,0.3 手,748.60,13 439.13
03 7 月 2026 09:05:07.832,JPN225,买入,68162.7,68530.7,0.3 手,537.00,12 690.53
03 7 月 2026 09:05:07.830,JPN225,买入,68162.7,68530.7,0.3 手,537.00,12 153.53
03 7 月 2026 09:04:40.747,JPN225,买入,68157.7,68508.2,0.3 手,511.55,11 616.53
03 7 月 2026 09:03:24.934,JPN225,买入,68162.7,68293.2,0.3 手,190.47,11 104.98
03 7 月 2026 09:03:12.603,JPN225,买入,68175.2,68293.2,0.3 手,172.23,10 914.51
03 7 月 2026 09:03:11.782,JPN225,买入,68182.7,68300.7,0.3 手,172.23,10 742.28
03 7 月 2026 09:03:02.530,JPN225,买入,68187.7,68293.2,0.3 手,153.98,10 570.05
03 7 月 2026 08:56:34.994,JPN225,卖出,68070.7,68127.7,0.1 手,-27.72,10 416.07
03 7 月 2026 08:56:34.980,JPN225,卖出,68070.7,68127.7,0.1 手,-27.72,10 443.79
03 7 月 2026 08:56:34.960,JPN225,卖出,68070.7,68127.7,0.1 手,-27.72,10 471.51
03 7 月 2026 08:56:34.959,JPN225,卖出,68070.7,68127.7,0.1 手,-27.72,10 499.23
03 7 月 2026 08:56:34.958,JPN225,卖出,68070.7,68127.7,0.1 手,-27.72,10 526.95
03 7 月 2026 08:56:34.949,JPN225,卖出,68075.7,68127.7,0.1 手,-25.29,10 554.67
03 7 月 2026 08:56:34.933,JPN225,卖出,68068.2,68127.7,0.1 手,-28.93,10 579.96
03 7 月 2026 08:56:34.933,JPN225,卖出,68070.7,68127.7,0.1 手,-27.72,10 608.89
03 7 月 2026 08:56:34.903,JPN225,卖出,68075.7,68127.7,0.1 手,-25.29,10 636.61
03 7 月 2026 08:56:11.609,JPN225,买入,68152.7,68085.7,0.1 手,-32.58,10 661.90
03 7 月 2026 08:56:11.595,JPN225,买入,68152.7,68085.7,0.1 手,-32.58,10 694.48
03 7 月 2026 08:56:11.592,JPN225,买入,68117.7,68085.7,0.1 手,-15.56,10 727.06
03 7 月 2026 08:56:11.591,JPN225,买入,68117.7,68085.7,0.1 手,-15.56,10 742.62
03 7 月 2026 08:56:11.589,JPN225,买入,68100.2,68085.7,0.1 手,-7.05,10 758.18
03 7 月 2026 08:56:11.573,JPN225,买入,68112.7,68085.7,0.1 手,-13.13,10 765.23
03 7 月 2026 08:56:11.565,JPN225,买入,68152.7,68085.7,0.1 手,-32.58,10 778.36
03 7 月 2026 08:56:11.558,JPN225,买入,68102.7,68085.7,0.1 手,-8.27,10 810.94
03 7 月 2026 08:56:11.535,JPN225,买入,68122.7,68085.7,0.1 手,-17.99,10 819.21
03 7 月 2026 08:47:05.756,JPN225,卖出,68000.7,68137.7,0.2 手,-133.16,10 837.20
03 7 月 2026 08:47:05.371,JPN225,卖出,68015.7,68132.7,0.2 手,-113.72,10 970.36
02 7 月 2026 22:21:32.655,US500,买入,7534.4,7526.7,0.1 手,-6.04,11 084.08
02 7 月 2026 22:21:32.645,US500,买入,7534.4,7526.7,0.1 手,-6.04,11 090.12
02 7 月 2026 22:20:23.284,HK50,买入,23231.0,23192.2,0.1 手,-3.88,11 096.16
02 7 月 2026 22:20:23.226,HK50,买入,23231.2,23192.2,0.1 手,-3.90,11 100.04
02 7 月 2026 21:50:50.944,HK50,买入,23225.7,23280.2,5 手,272.50,11 103.94
02 7 月 2026 21:50:50.475,US500,买入,7529.1,7533.5,3 手,103.52,10 831.44
02 7 月 2026 21:45:03.846,HK50,买入,23209.5,23213.7,5 手,21.00,10 727.92
02 7 月 2026 21:44:26.618,HK50,买入,23209.7,23220.7,5 手,55.00,10 706.92
02 7 月 2026 21:44:09.599,US500,买入,7519.9,7525.2,3 手,124.70,10 651.92
02 7 月 2026 21:44:03.828,HK50,买入,23214.7,23227.0,5 手,61.50,10 527.22
02 7 月 2026 21:44:03.244,HK50,买入,23212.0,23229.2,5 手,86.00,10 465.72
02 7 月 2026 21:44:01.302,US500,买入,7519.1,7528.0,3 手,209.40,10 379.72
02 7 月 2026 21:44:01.300,US500,买入,7519.9,7528.0,3 手,190.57,10 170.32
02 7 月 2026 21:43:51.638,HK50,买入,23215.0,23229.7,5 手,73.50,9 979.75
02 7 月 2026 21:43:51.006,HK50,买入,23209.7,23231.2,5 手,107.50,9 906.25
02 7 月 2026 21:38:31.805,US500,买入,7519.4,7510.7,3 手,-204.69,9 798.75
02 7 月 2026 21:38:31.376,US500,买入,7517.6,7511.0,3 手,-155.29,10 003.44
02 7 月 2026 21:36:49.769,HK50,卖出,23183.7,23200.0,5 手,-81.50,10 158.73
02 7 月 2026 21:36:48.551,HK50,卖出,23184.0,23202.0,5 手,-90.00,10 240.23
02 7 月 2026 21:36:40.192,HK50,买入,23208.0,23182.7,5 手,-126.50,10 330.23
02 7 月 2026 09:32:43.157,JPN225,买入,69077.4,69572.9,0.1 手,239.07,10 456.73
02 7 月 2026 09:31:52.258,JPN225,买入,69009.9,69652.9,0.1 手,310.23,10 217.66
02 7 月 2026 09:12:58.440,JPN225,买入,69019.9,69312.9,0.1 手,141.38,9 907.43
02 7 月 2026 09:12:58.396,JPN225,买入,69019.9,69312.9,0.1 手,141.38,9 766.05
02 7 月 2026 09:12:58.382,JPN225,买入,69079.9,69312.9,0.1 手,112.42,9 624.67
02 7 月 2026 09:11:51.548,JPN225,买入,69069.9,69322.9,0.1 手,122.09,9 512.25
02 7 月 2026 09:09:11.529,JPN225,买入,69077.4,69267.9,0.1 手,91.93,9 390.16
02 7 月 2026 08:59:59.300,JPN225,卖出,68922.9,69024.9,0.1 手,-49.21,9 298.23
02 7 月 2026 08:59:56.840,JPN225,卖出,68930.4,69044.9,0.1 手,-55.25,9 347.44
02 7 月 2026 08:59:54.335,JPN225,卖出,68920.4,69044.9,0.1 手,-60.07,9 402.69
02 7 月 2026 08:58:57.402,JPN225,买入,68982.4,68947.9,0.1 手,-16.65,9 462.76
02 7 月 2026 08:58:57.388,JPN225,买入,68994.9,68947.9,0.1 手,-22.68,9 479.41
02 7 月 2026 08:58:57.367,JPN225,买入,68999.9,68947.9,0.1 手,-25.09,9 502.09
02 7 月 2026 04:01:10.461,US500,买入,7486.8,7479.0,0.1 手,-6.12,9 527.18
01 7 月 2026 22:00:32.514,US500,买入,7462.0,7482.5,3 手,482.40,9 533.30
01 7 月 2026 21:59:02.338,US500,买入,7462.8,7479.6,3 手,395.34,9 050.90
01 7 月 2026 21:48:53.859,US500,买入,7463.0,7467.6,3 手,108.25,8 655.56
01 7 月 2026 21:48:53.806,US500,买入,7461.3,7467.6,3 手,148.25,8 547.31
01 7 月 2026 21:48:53.798,US500,买入,7461.0,7467.6,3 手,155.31,8 399.06
01 7 月 2026 21:48:53.792,US500,买入,7463.0,7467.6,3 手,108.25,8 243.75
01 7 月 2026 21:37:09.261,US500,卖出,7452.9,7463.0,3 手,-237.66,8 135.50
01 7 月 2026 21:37:08.942,US500,卖出,7452.9,7462.5,3 手,-225.90,8 373.16
01 7 月 2026 21:37:08.912,US500,卖出,7452.9,7462.5,3 手,-225.90,8 599.06
01 7 月 2026 09:11:27.939,JPN225,卖出,71770.2,71219.7,0.1 手,265.38,8 824.96
